time (UTC),pressureRow,Depth (m),Temperature (degC ITS-90),bin_centre,x,y
1965-01-31 00:00:00+00:00,30,1504.257692,2.31,1525,162.15847805218607,176.85714285714286
1965-01-31 00:00:00+00:00,40,2009.752136,1.94,2025,162.15847805218607,228.28571428571428
1965-01-31 00:00:00+00:00,50,2518.468015,1.73,2525,162.15847805218607,279.7142857142857
1965-01-31 00:00:00+00:00,60,3028.363184,1.56,3025,162.15847805218607,331.1428571428571
1965-01-31 00:00:00+00:00,70,3539.427253,1.52,3525,162.15847805218607,382.57142857142856
1965-01-31 00:00:00+00:00,81,4052.677465,1.5,4075,162.15847805218607,439.1428571428571
1965-01-31 00:00:00+00:00,85,4259.329463,1.525,4275,162.15847805218607,459.71428571428567
1965-02-28 00:00:00+00:00,0,16.06375059,4.756642857,25,163.23850248712802,22.571428571428573
1965-02-28 00:00:00+00:00,1,69.23061619,4.617142857,75,163.23850248712802,27.714285714285715
1965-02-28 00:00:00+00:00,2,118.803038,4.365714286,125,163.23850248712802,32.857142857142854
1965-02-28 00:00:00+00:00,3,169.2075263,3.521428571,175,163.23850248712802,38
1965-02-28 00:00:00+00:00,4,213.1877941,3.342857143,225,163.23850248712802,43.14285714285714
1965-02-28 00:00:00+00:00,5,265.3016767,3.43,275,163.23850248712802,48.28571428571429
1965-02-28 00:00:00+00:00,6,302.8163287,3.474,325,163.23850248712802,53.42857142857143
1965-02-28 00:00:00+00:00,7,398.2948592,3.565,375,163.23850248712802,58.57142857142857
1965-02-28 00:00:00+00:00,8,403.8535449,3.564,425,163.23850248712802,63.714285714285715
1965-02-28 00:00:00+00:00,9,496.849931,3.52,475,163.23850248712802,68.85714285714286
1965-02-28 00:00:00+00:00,10,504.9413004,3.53,525,163.23850248712802,74
1965-02-28 00:00:00+00:00,11,596.9695168,3.45,575,163.23850248712802,79.14285714285714
1965-02-28 00:00:00+00:00,12,606.0768947,3.37,625,163.23850248712802,84.28571428571428
1965-02-28 00:00:00+00:00,15,796.3399542,3.15,775,163.23850248712802,99.71428571428571
1965-02-28 00:00:00+00:00,16,808.4947631,3.07,825,163.23850248712802,104.85714285714286
1965-02-28 00:00:00+00:00,19,996.913122,2.84,975,163.23850248712802,120.28571428571429
1965-02-28 00:00:00+00:00,20,1011.107657,2.79,1025,163.23850248712802,125.42857142857143
1965-02-28 00:00:00+00:00,23,1196.662397,2.58,1175,163.23850248712802,140.85714285714286
1965-02-28 00:00:00+00:00,24,1213.914919,2.545,1225,163.23850248712802,146
1965-02-28 00:00:00+00:00,29,1498.162395,2.28,1475,163.23850248712802,171.71428571428572
1965-02-28 00:00:00+00:00,30,1518.488807,2.25,1525,163.23850248712802,176.85714285714286
1965-02-28 00:00:00+00:00,40,2019.26379,1.943333333,2025,163.23850248712802,228.28571428571428
1965-02-28 00:00:00+00:00,49,2496.014733,1.75,2475,163.23850248712802,274.57142857142856
1965-02-28 00:00:00+00:00,60,3006.881036,1.58,3025,163.23850248712802,331.1428571428571
1965-02-28 00:00:00+00:00,70,3507.643924,1.52,3525,163.23850248712802,382.57142857142856
1965-02-28 00:00:00+00:00,80,4020.822327,1.51,4025,163.23850248712802,434
1965-02-28 00:00:00+00:00,84,4226.417201,1.52,4225,163.23850248712802,454.5714285714286
1965-04-30 00:00:00+00:00,0,14.7674956,5.813375,25,165.5914128632516,22.571428571428573
1965-04-30 00:00:00+00:00,1,65.37089449,5.5475,75,165.5914128632516,27.714285714285715
1965-04-30 00:00:00+00:00,2,118.079524,4.57375,125,165.5914128632516,32.857142857142854
1965-04-30 00:00:00+00:00,3,170.3299886,3.79375,175,165.5914128632516,38
1965-04-30 00:00:00+00:00,4,215.4591505,3.28,225,165.5914128632516,43.14285714285714
1965-04-30 00:00:00+00:00,5,267.1282453,3.373333333,275,165.5914128632516,48.28571428571429
1965-04-30 00:00:00+00:00,6,301.3015669,3.43,325,165.5914128632516,53.42857142857143
1965-04-30 00:00:00+00:00,7,395.7665993,3.53,375,165.5914128632516,58.57142857142857
1965-04-30 00:00:00+00:00,8,401.8328852,3.515,425,165.5914128632516,63.714285714285715
1965-04-30 00:00:00+00:00,10,500.8961418,3.495,525,165.5914128632516,74
1965-04-30 00:00:00+00:00,12,603.0412171,3.38,625,165.5914128632516,84.28571428571428
1965-04-30 00:00:00+00:00,16,806.4684112,3.1,825,165.5914128632516,104.85714285714286
1965-04-30 00:00:00+00:00,20,1009.07905,2.85,1025,165.5914128632516,125.42857142857143
1965-04-30 00:00:00+00:00,23,1198.700378,2.64,1175,165.5914128632516,140.85714285714286
1965-04-30 00:00:00+00:00,24,1208.835946,2.6,1225,165.5914128632516,146
1965-04-30 00:00:00+00:00,30,1509.850954,2.28,1525,165.5914128632516,176.85714285714286
1965-04-30 00:00:00+00:00,40,2018.924583,1.935,2025,165.5914128632516,228.28571428571428
1965-04-30 00:00:00+00:00,50,2524.592035,1.71,2525,165.5914128632516,279.7142857142857
1965-04-30 00:00:00+00:00,60,3038.593506,1.58,3025,165.5914128632516,331.1428571428571
1965-04-30 00:00:00+00:00,70,3545.579381,1.52,3525,165.5914128632516,382.57142857142856
1965-04-30 00:00:00+00:00,81,4059.871174,1.51,4075,165.5914128632516,439.1428571428571
1965-04-30 00:00:00+00:00,85,4266.529644,1.51,4275,165.5914128632516,459.71428571428567
1965-05-31 00:00:00+00:00,0,14.71373448,6.227125,25,166.78715420193734,22.571428571428573
1965-05-31 00:00:00+00:00,1,69.91163011,5.61,75,166.78715420193734,27.714285714285715
1965-05-31 00:00:00+00:00,2,119.7615994,4.57,125,166.78715420193734,32.857142857142854
1965-05-31 00:00:00+00:00,3,168.3616532,3.674375,175,166.78715420193734,38
1965-05-31 00:00:00+00:00,4,210.9151683,3.308571429,225,166.78715420193734,43.14285714285714
1965-05-31 00:00:00+00:00,5,263.5691957,3.327142857,275,166.78715420193734,48.28571428571429
1965-05-31 00:00:00+00:00,6,302.0073132,3.442,325,166.78715420193734,53.42857142857143
1965-05-31 00:00:00+00:00,7,390.2082587,3.515,375,166.78715420193734,58.57142857142857
1965-05-31 00:00:00+00:00,8,402.8417082,3.524,425,166.78715420193734,63.714285714285715
1965-05-31 00:00:00+00:00,9,483.7064808,3.5,475,166.78715420193734,68.85714285714286
1965-05-31 00:00:00+00:00,10,502.9151452,3.506666667,525,166.78715420193734,74
1965-05-31 00:00:00+00:00,11,582.8082785,3.41,575,166.78715420193734,79.14285714285714
1965-05-31 00:00:00+00:00,12,604.0489665,3.41,625,166.78715420193734,84.28571428571428
1965-05-31 00:00:00+00:00,15,789.7587344,3.14,775,166.78715420193734,99.71428571428571
1965-05-31 00:00:00+00:00,16,807.4748328,3.15,825,166.78715420193734,104.85714285714286
1965-05-31 00:00:00+00:00,19,987.2853203,2.905,975,166.78715420193734,120.28571428571429
1965-05-31 00:00:00+00:00,20,1009.071369,2.83,1025,166.78715420193734,125.42857142857143
1965-05-31 00:00:00+00:00,23,1186.518327,2.65,1175,166.78715420193734,140.85714285714286
1965-05-31 00:00:00+00:00,24,1209.845841,2.585,1225,166.78715420193734,146
1965-05-31 00:00:00+00:00,29,1485.464431,2.335,1475,166.78715420193734,171.71428571428572
1965-05-31 00:00:00+00:00,30,1512.887239,2.275,1525,166.78715420193734,176.85714285714286
1965-05-31 00:00:00+00:00,39,1985.823855,1.96,1975,166.78715420193734,223.14285714285714
1965-05-31 00:00:00+00:00,40,2019.418343,1.945,2025,166.78715420193734,228.28571428571428
1965-05-31 00:00:00+00:00,49,2488.360777,1.745,2475,166.78715420193734,274.57142857142856
1965-05-31 00:00:00+00:00,59,2991.537972,1.595,2975,166.78715420193734,326
1965-05-31 00:00:00+00:00,69,3490.216256,1.52,3475,166.78715420193734,377.42857142857144
1965-05-31 00:00:00+00:00,70,3502.518,1.53,3525,166.78715420193734,382.57142857142856
1965-05-31 00:00:00+00:00,79,3997.190734,1.5,3975,166.78715420193734,428.8571428571429
1965-05-31 00:00:00+00:00,80,4010.547421,1.51,4025,166.78715420193734,434
1965-05-31 00:00:00+00:00,84,4207.906236,1.52,4225,166.78715420193734,454.5714285714286
1965-07-31 00:00:00+00:00,0,17.03471866,10.19530952,25,169.14006457806093,22.571428571428573
1965-07-31 00:00:00+00:00,1,71.8158743,5.854285714,75,169.14006457806093,27.714285714285715
1965-07-31 00:00:00+00:00,2,121.9146257,4.750952381,125,169.14006457806093,32.857142857142854
1965-07-31 00:00:00+00:00,3,175.0116327,3.916428571,175,169.14006457806093,38
1965-07-31 00:00:00+00:00,4,225.0516569,3.605714286,225,169.14006457806093,43.14285714285714
1965-07-31 00:00:00+00:00,5,278.4306058,3.501428571,275,169.14006457806093,48.28571428571429
1965-07-31 00:00:00+00:00,6,302.4791921,3.53,325,169.14006457806093,53.42857142857143
1965-07-31 00:00:00+00:00,7,397.7877586,3.5975,375,169.14006457806093,58.57142857142857
1965-07-31 00:00:00+00:00,8,403.5161014,3.596666667,425,169.14006457806093,63.714285714285715
1965-07-31 00:00:00+00:00,9,498.8713169,3.5,475,169.14006457806093,68.85714285714286
1965-07-31 00:00:00+00:00,10,504.9386197,3.58,525,169.14006457806093,74
1965-07-31 00:00:00+00:00,12,603.5442626,3.425,625,169.14006457806093,84.28571428571428
1965-07-31 00:00:00+00:00,15,799.3763032,3.19,775,169.14006457806093,99.71428571428571
1965-07-31 00:00:00+00:00,16,808.490468,3.16,825,169.14006457806093,104.85714285714286
1965-07-31 00:00:00+00:00,19,998.9385695,2.88,975,169.14006457806093,120.28571428571429
1965-07-31 00:00:00+00:00,20,1011.102283,2.87,1025,169.14006457806093,125.42857142857143
1965-07-31 00:00:00+00:00,24,1206.80618,2.61,1225,169.14006457806093,146
1965-07-31 00:00:00+00:00,30,1510.352175,2.3,1525,169.14006457806093,176.85714285714286
1965-07-31 00:00:00+00:00,40,2017.89721,1.95,2025,169.14006457806093,228.28571428571428
1965-07-31 00:00:00+00:00,50,2515.402236,1.73,2525,169.14006457806093,279.7142857142857
1965-07-31 00:00:00+00:00,60,3022.220606,1.6,3025,169.14006457806093,331.1428571428571
1965-07-31 00:00:00+00:00,70,3533.269896,1.52,3525,169.14006457806093,382.57142857142856
1965-07-31 00:00:00+00:00,80,4046.505422,1.51,4025,169.14006457806093,434
1965-07-31 00:00:00+00:00,85,4252.122999,1.52,4275,169.14006457806093,459.71428571428567
1965-08-31 00:00:00+00:00,0,14.52535432,11.356625,25,170.33580591674666,22.571428571428573
1965-08-31 00:00:00+00:00,1,62.92440961,5.9475,75,170.33580591674666,27.714285714285715
